********************************************************************
  JasperGold - Superlint Violation/Property Report  
********************************************************************

Report Information
"module","created date"
"uc","Sep 02 06:21:21 CST 2025"



VIOLATIONS SUMMARY
Domain: LINT
"Category","Error","Warning","Info","Waived","Total"
"CODINGSTYLE","223","4845","5","0","5073"
"DFT_FUNCTIONAL","4","0","14","0","18"
"FILEFORMAT","0","513","0","0","513"
"STRUCTURAL","102","5","1725","0","1832"
"SYNTHESIS","0","18","130","0","148"
"Total","329","5381","1874","0","7584"

CODINGSTYLE
"Severity","Tag","Message","Source Location","Instance-Module","Grouping Status"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaPCUnit'. Length of RHS is less than LHS. LHS 'carryCalcBits' (unsigned) - 3 bit(s), RHS '(PC_R[1:0] + 2'b11)' (unsigned) - 2 bit(s). RHS will be padded by 1 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/PCUnit.v :1434 ","*-Xm_serdes_64i64d0256d1_fusaPCUnit","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_low_depbits'. Length of RHS is less than LHS. LHS 'low_depbits_out_o' (unsigned) - 32 bit(s), RHS 'low_depbits_in_i' (unsigned) - 5 bit(s). RHS will be padded by 27 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20286 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_low_depbits","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_simm8x256'. Length of RHS is less than LHS. LHS 'tie_temp_simm8x256_out' (unsigned) - 40 bit(s), RHS '({{{24{{simm8x256_in_i[7]}}}},simm8x256_in_i} << 32'h8)' (unsigned) - 32 bit(s). RHS will be padded by 8 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20270 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_simm8x256","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaxtaddc'. Length of RHS is less than LHS. LHS '{carry,sum}' (unsigned) - 33 bit(s), RHS '((a + b) + c)' (unsigned) - 32 bit(s). RHS will be padded by 1 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/primitives/primitives.v :1049 ","*-Xm_serdes_64i64d0256d1_fusaxtaddc","Grouped"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8x2'. Length of RHS is less than LHS. LHS 'uimm8x2_out_o' (unsigned) - 32 bit(s), RHS '(uimm8x2_in_i << 32'h1)' (unsigned) - 8 bit(s). RHS will be padded by 24 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20240 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8x2","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_immrx4'. Length of RHS is less than LHS. LHS 'tie_temp_immrx4_out' (unsigned) - 34 bit(s), RHS '({{28{{1'b1}}},immrx4_in_i} << 32'h2)' (unsigned) - 32 bit(s). RHS will be padded by 2 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20091 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_immrx4","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8x4'. Length of RHS is less than LHS. LHS 'uimm8x4_out_o' (unsigned) - 32 bit(s), RHS '(uimm8x4_in_i << 32'h2)' (unsigned) - 8 bit(s). RHS will be padded by 24 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20247 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8x4","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_lsi4x4'. Length of RHS is less than LHS. LHS 'lsi4x4_out_o' (unsigned) - 32 bit(s), RHS '(lsi4x4_in_i << 32'h2)' (unsigned) - 4 bit(s). RHS will be padded by 28 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20100 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_lsi4x4","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm16x4'. Length of RHS is less than LHS. LHS 'tie_temp_uimm16x4_out' (unsigned) - 34 bit(s), RHS '({{16{{1'b1}}},uimm16x4_in_i} << 32'h2)' (unsigned) - 32 bit(s). RHS will be padded by 2 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20316 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm16x4","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8'. Length of RHS is less than LHS. LHS 'uimm8_out_o' (unsigned) - 32 bit(s), RHS 'uimm8_in_i' (unsigned) - 8 bit(s). RHS will be padded by 24 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20234 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimm8","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimmrx4'. Length of RHS is less than LHS. LHS 'tie_temp_uimmrx4_out' (unsigned) - 34 bit(s), RHS '({28'b0,uimmrx4_in_i} << 32'h2)' (unsigned) - 32 bit(s). RHS will be padded by 2 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20254 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimmrx4","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_imms'. Length of RHS is less than LHS. LHS 'imms_out_o' (unsigned) - 32 bit(s), RHS 'imms_in_i' (unsigned) - 4 bit(s). RHS will be padded by 28 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20325 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_imms","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_immt'. Length of RHS is less than LHS. LHS 'immt_out_o' (unsigned) - 32 bit(s), RHS 'immt_in_i' (unsigned) - 4 bit(s). RHS will be padded by 28 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20222 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_immt","-"
"Error","ASG_MS_RPAD","Unequal length operands in assignment in design-unit/block 'Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimms8'. Length of RHS is less than LHS. LHS 'uimms8_out_o' (unsigned) - 32 bit(s), RHS 'uimms8_in_i' (unsigned) - 3 bit(s). RHS will be padded by 29 bit(s).","/projects/sd3101_t4gp_fe/users/canchen/Timberwolf_USB4_T4GP/trunk/design/rtl/rtl_xtensa/xtensa/core/TIE.v :20228 ","*-Xm_serdes_64i64d0256d1_fusaTIE_immediate_opnd_sem_uimms8","-"
